	level_0	index	font-family	font-size	color	left	top	language	text	innerWidth	innerHeight	link	boxID	width	manga	page_width	page_height	id	font-weight	margin	text-align	-webkit-writing-mode	-webkit-text-orientation
9	2	9	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	215.0	114.0	en	THIS IS HOT!!	75	69	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-5	2	75.0	Doraemon_Long_Stories	800	1279	3					
10	3	10	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	82.0	123.0	en	I CAN'T TAKE A NAP	83	69	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-5	3	83.0	Doraemon_Long_Stories	800	1279	3					
11	4	11	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	63.0	376.0	en	THIS IS TOO COLD!	111	69	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-5	6	111.0	Doraemon_Long_Stories	800	1279	3					
12	5	12	 anime-ace, sans-serif	13.0	[' 0', '0', '0']	662.0	370.0	en	I WANNA GO SOMEWHERE COLD TOO	120	60	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-5	5	120.0	Doraemon_Long_Stories	800	1279	3					
13	6	13	 hl-comic2, sans-serif	18.0	[' 0', '0', '0']	357.0	629.0	en	WHAT IS THIS PLACE? A SOUTH POLE? A NORTH POLE!?	168	104	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-5	4	168.0	Doraemon_Long_Stories	800	1279	3					
0	0	0	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	265.0	143.0	jp	"でて
こい
よ〜"	93	54	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-6	0		Doraemon_Long_Stories	800	1285	4					
1	1	1	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	207.0	257.0	jp	"もう
無
む
理
り
いわない
から"	103	96	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-6	1		Doraemon_Long_Stories	800	1285	4					
2	2	2	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	578.0	764.0	jp	"アハハ
あんな
とこで
すねてる"	120	96	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-6	2		Doraemon_Long_Stories	800	1285	4					
3	3	3	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	192.0	402.0	jp	"み〜つ
けた！"	66	75	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-6	3		Doraemon_Long_Stories	800	1285	4					
4	4	4	 yasashisa-antique, sans-serif	30.0	[' 0', '0', '0']	503.0	289.0	jp	"ドラ
えも
〜ん"	129	72	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-6	4		Doraemon_Long_Stories	800	1285	4					
5	5	5	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	31.0	673.0	jp	"……
なんだ
こりゃ"	93	75	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-6	5		Doraemon_Long_Stories	800	1285	4					
6	6	6	 yasashisa-antique, sans-serif	20.0	[' 0', '0', '0']	598.0	937.0	jp	"小
ちい
さな
穴
あな
が
三つ
……"	136	72	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-6	6		Doraemon_Long_Stories	800	1285	4					
7	0	7	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	265.0	139.0	en	PLEASE COME OUT!	90	69	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-6	0	90.0	Doraemon_Long_Stories	800	1285	4					
8	1	8	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	202.0	263.0	en	I'M NOT GONNA BUG YOU ANYMORE	106	88	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-6	1	106.0	Doraemon_Long_Stories	800	1285	4					
9	2	9	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	577.0	757.0	en	AHAHA, SO YOU'RE HIDING THERE, HUH?	119	107	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-6	2	119.0	Doraemon_Long_Stories	800	1285	4					
10	3	10	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	177.0	404.0	en	I'VE FOUND YOU!	88	69	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-6	3	88.0	Doraemon_Long_Stories	800	1285	4					
11	4	11	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	36.0	680.0	en	WHAT IS IT?	82	50	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-6	5	82.0	Doraemon_Long_Stories	800	1285	4					
12	5	12	 hl-comic2, sans-serif	20.0	[' 0', '0', '0']	495.0	288.0	en	DORAE-MOOON!	135	64	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-6	4	135.0	Doraemon_Long_Stories	800	1285	4					
